secondary_substation_unique_id,latitude,longitude
SSEN-2529009300,51.486686,-0.368931
SSEN-2529009300,51.486686,-0.368931
SSEN-2529009310,51.485788,-0.367739
SSEN-2529009310,51.485788,-0.367739
SSEN-2529009310,51.485788,-0.367739
SSEN-2529009310,51.485788,-0.367739
SSEN-2529009320,51.487616,-0.367904
SSEN-2529009330,51.488656,-0.368357
SSEN-2529009330,51.488656,-0.368357
SSEN-2529009330,51.488656,-0.368357
SSEN-2529009340,51.488083,-0.369803
SSEN-2529011180,51.486733,-0.404362
SSEN-2529011180,51.486733,-0.404362
SSEN-2529011180,51.486733,-0.404362
SSEN-2529011180,51.486733,-0.404362
SSEN-2529011200,51.480733,-0.411542
SSEN-2529011200,51.480733,-0.411542
SSEN-2529011300,51.482758,-0.409642
SSEN-2529011300,51.482758,-0.409642
SSEN-2529011300,51.482758,-0.409642
SSEN-2529012020,51.495997,-0.416457
SSEN-2529012020,51.495997,-0.416457
SSEN-2529012020,51.495997,-0.416457
SSEN-2529012020,51.495997,-0.416457
